,epoch,train_accuracy_simple,train_accuracy_distil,train_loss_simple,train_loss_distil,valid_accuracy_simple,valid_accuracy_distil
0,0,0.01414,0.01388,0.002334406576156616,5.422345146484375,0.02522,0.01866
1,1,0.03184,0.02232,0.002253378038406372,5.386578251953125,0.03762,0.02524
2,2,0.04542,0.03146,0.002194130878448486,5.362904267578125,0.05206,0.03722
3,3,0.05604,0.04594,0.0021498987197875975,5.3383678125,0.06302,0.0503
4,4,0.07142,0.0573,0.002112214756011963,5.3132137109375,0.07614,0.06284
5,5,0.08326,0.0678,0.002077790060043335,5.28768978515625,0.0865,0.07388
6,6,0.09144,0.08068,0.0020451596069335936,5.26378890625,0.09498,0.08632
7,7,0.09876,0.09112,0.002014600024223328,5.242207880859375,0.10212,0.09656
8,8,0.1051,0.099,0.001986324210166931,5.22276701171875,0.10984,0.10446
9,9,0.11266,0.10658,0.0019599592685699465,5.20529591796875,0.11716,0.11128
10,10,0.1207,0.1131,0.0019350360822677612,5.189371689453125,0.12512,0.11802
11,11,0.12756,0.11976,0.0019112955951690674,5.174645712890625,0.13162,0.12486
12,12,0.13488,0.12584,0.0018887397813796996,5.1608837890625,0.13734,0.1314
13,13,0.14058,0.13308,0.0018674125385284425,5.14792220703125,0.1435,0.13726
14,14,0.14658,0.13934,0.0018473036098480226,5.135617421875,0.1486,0.1444
15,15,0.15178,0.14618,0.0018284163570404053,5.123916171875,0.154,0.1512
16,16,0.15674,0.1523,0.0018106464338302612,5.11283140625,0.15982,0.15726
17,17,0.16214,0.1584,0.0017938719606399537,5.102233701171875,0.16522,0.16296
18,18,0.16744,0.16356,0.0017780051517486573,5.0920670703125,0.17008,0.16818
19,19,0.1725,0.16958,0.001762928032875061,5.082375849609375,0.1751,0.17274
20,20,0.17748,0.1739,0.0017485818672180176,5.073102685546875,0.17966,0.17758
21,21,0.18186,0.17968,0.001734818124771118,5.064243671875,0.18418,0.18288
22,22,0.1863,0.18502,0.0017215954399108888,5.0557442578125,0.18902,0.18796
23,23,0.19036,0.1897,0.0017088351774215698,5.04757455078125,0.1931,0.19254
24,24,0.19406,0.19506,0.0016965330123901367,5.03972205078125,0.19792,0.19656
25,25,0.19864,0.19942,0.0016845936822891235,5.032127021484375,0.20296,0.20042
26,26,0.20308,0.20384,0.001673015513420105,5.02479994140625,0.20602,0.20502
27,27,0.2067,0.20864,0.0016616857767105103,5.017698740234375,0.21,0.20842
28,28,0.211,0.2121,0.0016506004667282104,5.010811123046875,0.21408,0.21292
29,29,0.21548,0.21586,0.0016397121667861938,5.00408005859375,0.21826,0.21754
30,30,0.21948,0.22018,0.0016289867782592774,4.997521357421875,0.22278,0.2211
31,31,0.2229,0.22394,0.001618422374725342,4.991146806640625,0.2265,0.22548
32,32,0.2272,0.22762,0.00160798508644104,4.984910625,0.2299,0.22874
33,33,0.23094,0.23072,0.0015976577758789062,4.97882259765625,0.23394,0.23202
34,34,0.23542,0.23374,0.0015874556159973146,4.972867392578125,0.23746,0.23518
35,35,0.23952,0.23718,0.001577390661239624,4.967046005859375,0.24082,0.23806
36,36,0.24254,0.2411,0.0015674743509292602,4.9613391796875,0.24472,0.24198
37,37,0.24586,0.24452,0.0015576941871643067,4.955723779296875,0.24804,0.24468
38,38,0.24934,0.24712,0.0015480778980255126,4.9502534765625,0.25144,0.24838
39,39,0.25276,0.25066,0.0015386181545257568,4.944892138671875,0.25502,0.25164
40,40,0.25592,0.25326,0.0015293255376815796,4.93963125,0.25776,0.25514
41,41,0.25976,0.2559,0.0015202149200439453,4.9344737890625,0.2617,0.25838
42,42,0.26312,0.25932,0.001511247501373291,4.9293999609375,0.26436,0.26144
43,43,0.26652,0.26302,0.0015024465417861938,4.92444978515625,0.26768,0.26498
44,44,0.26932,0.2655,0.0014937967443466186,4.919579677734375,0.27056,0.2683
45,45,0.27234,0.26854,0.0014853179025650024,4.9147685546875,0.2739,0.271
46,46,0.27506,0.27178,0.0014770297718048097,4.910076279296875,0.2771,0.27388
47,47,0.2781,0.27478,0.0014688413763046264,4.905430849609375,0.27986,0.27716
48,48,0.28072,0.27732,0.0014608438777923584,4.9008535546875,0.28222,0.28
49,49,0.28324,0.27998,0.0014529915475845338,4.8963483203125,0.28466,0.28308
50,50,0.2859,0.28252,0.0014452664995193481,4.891902421875,0.28736,0.28568
51,51,0.2889,0.28494,0.0014376932048797608,4.88752048828125,0.29028,0.28854
52,52,0.29144,0.2885,0.0014302215576171874,4.883196923828125,0.29322,0.2911
53,53,0.29386,0.29102,0.0014229115390777588,4.8789437890625,0.29658,0.29384
54,54,0.29696,0.29368,0.0014157327032089234,4.87475666015625,0.29882,0.2969
55,55,0.29966,0.29682,0.00140865656375885,4.870606748046875,0.30126,0.29928
56,56,0.3019,0.30022,0.0014016323375701904,4.8665394140625,0.3034,0.30186
57,57,0.30414,0.30304,0.0013947896432876586,4.862532802734375,0.30626,0.30454
58,58,0.30612,0.30546,0.0013880455255508423,4.8585879296875,0.30836,0.30728
59,59,0.3083,0.30864,0.001381445026397705,4.8547128125,0.31044,0.30946
60,60,0.31174,0.3111,0.001373925518989563,4.850785927734375,0.3118,0.31064
61,61,0.31318,0.31262,0.0013718602895736694,4.84890443359375,0.3134,0.31178
62,62,0.31378,0.31354,0.0013698039436340333,4.8476534375,0.31462,0.31234
63,63,0.31458,0.31448,0.0013677332735061646,4.84645900390625,0.31522,0.31316
64,64,0.3152,0.31548,0.0013657098293304443,4.84528916015625,0.31662,0.31382
65,65,0.31594,0.31612,0.0013637133598327638,4.844135361328125,0.31706,0.3144
66,66,0.31666,0.31678,0.001361734709739685,4.84299521484375,0.31802,0.31526
67,67,0.3173,0.3173,0.0013597777605056762,4.841851953125,0.31856,0.31632
68,68,0.31818,0.3182,0.0013578360891342164,4.840723291015625,0.31916,0.31688
69,69,0.31882,0.31904,0.001355924801826477,4.839609677734375,0.31982,0.31774
70,70,0.3196,0.3199,0.0013540204334259033,4.838500244140625,0.32074,0.31828
71,71,0.32032,0.32072,0.0013521382141113282,4.83739232421875,0.3217,0.31892
72,72,0.32096,0.32134,0.0013502654504776001,4.83629591796875,0.3221,0.3197
73,73,0.32152,0.3219,0.0013484020328521729,4.835218486328125,0.32312,0.32036
74,74,0.32204,0.32272,0.0013465835666656495,4.834136884765625,0.3235,0.3211
75,75,0.32266,0.32348,0.0013447530364990234,4.833070888671875,0.32426,0.322
76,76,0.32326,0.3243,0.0013429560613632202,4.8319957421875,0.32512,0.32276
77,77,0.32398,0.32468,0.0013411447238922119,4.830936875,0.32552,0.32344
78,78,0.32478,0.32538,0.0013393667507171632,4.829884599609375,0.3263,0.32404
79,79,0.32552,0.32616,0.0013375813102722168,4.828830693359375,0.32694,0.32472
80,80,0.326,0.32674,0.0013357999610900879,4.827791162109375,0.32762,0.32548
81,81,0.32692,0.32742,0.0013340340948104859,4.826745244140625,0.3281,0.32624
82,82,0.32748,0.32852,0.001332277979850769,4.8257124609375,0.32854,0.32698
83,83,0.32834,0.32912,0.0013305243349075316,4.824678994140625,0.32904,0.32782
84,84,0.32892,0.33014,0.0013288042211532592,4.823654072265625,0.3297,0.32856
85,85,0.32932,0.33078,0.001327070903778076,4.822637236328125,0.33014,0.32918
86,86,0.32992,0.33166,0.0013253573989868163,4.821620048828125,0.33076,0.33004
87,87,0.33062,0.33222,0.0013236513662338257,4.82060390625,0.33138,0.33046
88,88,0.33142,0.333,0.0013219413137435913,4.819604130859375,0.33174,0.33098
89,89,0.3323,0.33358,0.0013202576589584352,4.8185998046875,0.33248,0.33142
90,90,0.33314,0.33426,0.001318582034111023,4.817604013671875,0.33306,0.33188
91,91,0.33358,0.33492,0.0013168975114822388,4.8166071875,0.33366,0.33238
92,92,0.3341,0.33532,0.001315226435661316,4.8156103515625,0.3342,0.33294
93,93,0.33468,0.33624,0.0013135821676254272,4.814636279296875,0.3346,0.33324
94,94,0.33514,0.3365,0.001311933741569519,4.813653999023438,0.33526,0.3338
95,95,0.33568,0.33686,0.001310287914276123,4.812676586914063,0.3358,0.33436
96,96,0.3363,0.33722,0.0013086451816558837,4.811695639648438,0.33664,0.33514
97,97,0.33702,0.338,0.001307009129524231,4.810728266601562,0.33738,0.336
98,98,0.33788,0.33874,0.0013053770446777343,4.80976083984375,0.33796,0.3367
99,99,0.33836,0.33928,0.0013037538146972655,4.808797265625,0.33894,0.33718
100,100,0.33928,0.33994,0.0013021428537368775,4.807838842773437,0.33954,0.33776
101,101,0.33982,0.34082,0.0013005381774902343,4.8068816357421875,0.33986,0.33818
102,102,0.34022,0.34134,0.0012989281463623046,4.805939594726563,0.3405,0.33884
103,103,0.34078,0.34192,0.0012973372745513916,4.804988354492187,0.34102,0.33962
104,104,0.34152,0.34262,0.0012957440423965454,4.804035830078125,0.34162,0.34042
105,105,0.34184,0.34326,0.0012941627979278563,4.803093154296875,0.34248,0.3412
106,106,0.34234,0.34386,0.0012925815725326538,4.802154624023437,0.34266,0.34194
107,107,0.34284,0.3445,0.0012910201597213745,4.8012242578125,0.34312,0.3422
108,108,0.34356,0.3452,0.0012894498014450074,4.800295610351562,0.34384,0.34284
109,109,0.3443,0.34568,0.001287886128425598,4.799372021484375,0.34456,0.3432
110,110,0.34492,0.3465,0.0012863305282592773,4.798445717773437,0.3449,0.34392
111,111,0.3456,0.3471,0.001284776372909546,4.797531650390625,0.34542,0.34454
112,112,0.34616,0.34768,0.0012832363986968994,4.796625986328125,0.34614,0.34528
113,113,0.3465,0.34848,0.0012816975259780884,4.7957071875,0.34672,0.34594
114,114,0.34696,0.34904,0.0012801449155807494,4.794800400390625,0.3471,0.34662
115,115,0.34752,0.34964,0.0012786128425598144,4.79389845703125,0.34788,0.34752
116,116,0.34826,0.3503,0.0012771060752868651,4.792991015625,0.34886,0.348
117,117,0.34868,0.35048,0.0012755733156204223,4.792088798828125,0.34928,0.3485
118,118,0.3493,0.35092,0.0012740520286560059,4.791195317382813,0.34974,0.349
119,119,0.3498,0.35144,0.0012725340175628662,4.79030609375,0.35058,0.3496
