,epoch,train_accuracy_simple,train_accuracy_distil,train_loss_simple,train_loss_distil,valid_accuracy_simple,valid_accuracy_distil
0,0,0.1333,0.11318,0.0011545001792907714,3.0798545263671877,0.16566,0.11132
1,1,0.2541,0.199,0.0010064593029022217,3.005089296875,0.27658,0.22382
2,2,0.33208,0.27556,0.0009194195294380188,2.93897994140625,0.3405,0.2945
3,3,0.37428,0.33464,0.0008668204617500305,2.881401357421875,0.38742,0.35788
4,4,0.403,0.38126,0.0008223542952537537,2.8393474951171873,0.41902,0.39526
5,5,0.42994,0.40634,0.000783419406414032,2.8104878466796874,0.4401,0.41732
6,6,0.45348,0.42396,0.0007525000095367432,2.7889146142578123,0.46028,0.43608
7,7,0.47334,0.44226,0.0007269483399391175,2.7713427685546876,0.47786,0.45246
8,8,0.49132,0.45676,0.0007042354607582093,2.7561016064453123,0.49282,0.46534
9,9,0.50626,0.4706,0.000683650107383728,2.7422315380859374,0.50634,0.47786
10,10,0.51884,0.48314,0.0006650811696052552,2.7294010986328123,0.51908,0.49006
11,11,0.53054,0.496,0.0006484785437583923,2.71736197265625,0.53258,0.50204
12,12,0.5424,0.50782,0.0006333359813690186,2.70583638671875,0.54508,0.5139
13,13,0.55318,0.51756,0.0006194406723976136,2.6948501513671874,0.55706,0.5235
14,14,0.56264,0.52744,0.0006066083240509033,2.6843394921875,0.56686,0.53286
15,15,0.57106,0.53684,0.0005945212864875793,2.6742282958984376,0.57746,0.54172
16,16,0.58058,0.54668,0.0005830179500579834,2.6645025634765624,0.5858,0.55092
17,17,0.58898,0.55508,0.000572040159702301,2.655142001953125,0.594,0.56026
18,18,0.59754,0.5635,0.0005614545774459839,2.646190771484375,0.60212,0.56818
19,19,0.6042,0.5711,0.0005512404775619506,2.637582197265625,0.61052,0.57596
20,20,0.61256,0.5785,0.0005414114665985107,2.62934255859375,0.61944,0.58234
21,21,0.6202,0.58496,0.0005319266307353973,2.6213748291015624,0.62698,0.5895
22,22,0.62734,0.59148,0.0005227797949314117,2.61372828125,0.63462,0.59572
23,23,0.6353,0.59836,0.0005140267145633697,2.6063919287109374,0.64192,0.60154
24,24,0.64198,0.60568,0.0005055451667308808,2.599356259765625,0.6482,0.60778
25,25,0.6485,0.61182,0.0004973370790481567,2.5925481884765627,0.65506,0.61278
26,26,0.65464,0.6169,0.0004893647313117981,2.5859953076171873,0.66138,0.6188
27,27,0.6609,0.62218,0.0004816223847866058,2.579666435546875,0.6674,0.6236
28,28,0.66648,0.62776,0.00047411396622657777,2.573565625,0.67302,0.62872
29,29,0.67252,0.63266,0.00046681589126586914,2.5676588525390627,0.67782,0.63362
30,30,0.67824,0.63794,0.00045965981245040894,2.5619456787109374,0.68338,0.63888
31,31,0.68416,0.64274,0.0004526541411876679,2.556414169921875,0.68954,0.64416
32,32,0.68934,0.64752,0.00044583884835243224,2.5510105908203125,0.69476,0.64932
33,33,0.69492,0.65214,0.0004391391110420227,2.5457199169921876,0.70016,0.6542
34,34,0.70016,0.65598,0.00043257777094841005,2.540561083984375,0.70512,0.65818
35,35,0.7052,0.65978,0.00042609061121940615,2.5355165283203127,0.70988,0.6617
36,36,0.71024,0.6635,0.0004197620868682861,2.5305898876953123,0.7149,0.66528
37,37,0.71458,0.66864,0.00041353827476501464,2.5257406689453124,0.71946,0.67006
38,38,0.7195,0.67228,0.00040741366863250735,2.5210015185546877,0.72404,0.67388
39,39,0.72442,0.67706,0.00040139365077018736,2.5163232958984376,0.72808,0.67818
40,40,0.72934,0.68066,0.0003954315996170044,2.51171599609375,0.73178,0.68268
41,41,0.73444,0.68526,0.00038948934435844424,2.5071733154296876,0.73626,0.68664
42,42,0.7386,0.68904,0.00038366178631782534,2.5026997900390624,0.74036,0.69028
43,43,0.74352,0.6928,0.00037789658308029175,2.498303583984375,0.74426,0.6941
44,44,0.74814,0.69654,0.00037214117288589477,2.493957529296875,0.74764,0.69818
45,45,0.75314,0.7007,0.0003664493989944458,2.4897070849609375,0.75128,0.7022
46,46,0.75766,0.70432,0.00036087378203868863,2.4855438232421876,0.75574,0.7054
47,47,0.7616,0.70844,0.0003553385525941849,2.48142216796875,0.75976,0.70942
48,48,0.76572,0.71276,0.0003498512262105942,2.477323203125,0.76386,0.71322
49,49,0.76926,0.71654,0.00034439628839492796,2.4732833984375,0.76766,0.7168
50,50,0.77382,0.71984,0.0003390435695648193,2.469288896484375,0.77194,0.72042
51,51,0.77758,0.72408,0.00033363467037677766,2.4653681640625,0.77652,0.72444
52,52,0.78176,0.72746,0.0003282906496524811,2.46148283203125,0.77982,0.7279
53,53,0.78578,0.73096,0.0003230082368850708,2.457664072265625,0.78408,0.73122
54,54,0.79038,0.73434,0.0003177938437461853,2.453863955078125,0.7881,0.73496
55,55,0.79428,0.73776,0.0003125595235824585,2.4501410595703126,0.7912,0.73798
56,56,0.79854,0.74146,0.0003075070732831955,2.4464507861328126,0.7948,0.74156
57,57,0.80286,0.74486,0.0003025756424665451,2.4427957373046874,0.7962,0.74468
58,58,0.80632,0.74868,0.00029770879626274106,2.4391876171875,0.79808,0.74808
59,59,0.81042,0.75192,0.0002927428835630417,2.4355644580078124,0.80068,0.75178
60,60,0.81328,0.75518,0.0002875552362203598,2.431169169921875,0.81242,0.7537
61,61,0.81492,0.7574,0.0002854605203866959,2.429769619140625,0.81426,0.7511
62,62,0.81668,0.75876,0.00028299245953559873,2.4283505224609376,0.81632,0.7529
63,63,0.81894,0.75958,0.0002810447549819946,2.4270711767578126,0.81756,0.75398
64,64,0.82048,0.76102,0.000279246768951416,2.4258346826171877,0.8187,0.75602
65,65,0.82166,0.762,0.00027752441823482516,2.4245946728515624,0.82032,0.75726
66,66,0.82298,0.76312,0.0002758500182628632,2.42337630859375,0.82126,0.75902
67,67,0.82422,0.76454,0.0002742018789052963,2.42218291015625,0.82262,0.76038
68,68,0.82588,0.76558,0.00027258302092552186,2.421008623046875,0.82402,0.7614
69,69,0.8271,0.76684,0.0002709888869524002,2.4198219140625,0.82528,0.76228
70,70,0.82816,0.76818,0.00026942075192928314,2.418655810546875,0.826,0.76354
71,71,0.82928,0.76936,0.0002678710877895355,2.417507568359375,0.82724,0.76466
72,72,0.83052,0.77064,0.0002663566583395004,2.416362158203125,0.82854,0.76572
73,73,0.83212,0.77202,0.0002648265165090561,2.4152172705078123,0.82948,0.7667
74,74,0.8331,0.77328,0.00026330895602703094,2.41407630859375,0.83054,0.76766
75,75,0.83412,0.77432,0.0002618037587404251,2.4129474169921874,0.83178,0.76842
76,76,0.83538,0.77538,0.00026031431406736374,2.4118386279296873,0.83262,0.7691
77,77,0.8366,0.77618,0.00025885402023792265,2.4107250048828126,0.83386,0.77034
78,78,0.8377,0.77766,0.00025738558501005174,2.4096331103515625,0.8347,0.7717
79,79,0.83874,0.77832,0.00025592584550380705,2.4085379736328125,0.83598,0.77256
80,80,0.83982,0.77932,0.0002544631636142731,2.407441328125,0.83704,0.77394
81,81,0.84116,0.78012,0.00025299858391284943,2.4063464013671876,0.83824,0.77466
82,82,0.84214,0.7812,0.0002515512079000473,2.40525439453125,0.8391,0.7754
83,83,0.8433,0.78228,0.0002501069101691246,2.40416642578125,0.84014,0.77678
84,84,0.84472,0.78324,0.0002486586835980415,2.403084189453125,0.84136,0.778
85,85,0.84568,0.7841,0.0002472343730926514,2.4019948095703123,0.84222,0.7791
86,86,0.84688,0.7851,0.0002458046996593475,2.40092982421875,0.84354,0.78006
87,87,0.8482,0.7861,0.0002443779921531677,2.399851394042969,0.8446,0.78086
88,88,0.84932,0.7873,0.00024292801439762115,2.398787761230469,0.846,0.78168
89,89,0.8508,0.7883,0.00024151418030261994,2.397734602050781,0.84702,0.78268
